latitude,longitude,stop,sublines,substopid
40.674835,-73.957520,Park Place,S,434
40.655116,-73.961465,Parkside Ave,Q,383
40.707567,-73.803322,Parsons Blvd,F,275
40.852745,-73.827398,Pelham Bay Park,6,155
40.857194,-73.867581,Pelham Pkwy,2 5,56
40.664503,-73.895360,Pennsylvania Ave,1,88
40.667862,-73.950662,President St,2 5,91
40.724854,-73.997275,Prince St,N R,371
40.819697,-73.901612,Prospect Ave,2 5,48
40.665343,-73.992715,Prospect Ave,M N R,402
40.661342,-73.962030,Prospect Park,Q S,382
40.748741,-73.936990,Queens Plaza,E G R V,258
40.750486,-73.940117,Queensboro Plaza,7 N W,162
40.678784,-73.920833,Ralph Ave,C,227
40.707964,-74.013562,Rector St-Greenwich St,1 9,2
40.707795,-74.012894,Rector St-Trinity Pl,N R,375
40.662408,-73.909201,Rockaway Ave,1,86
40.678273,-73.912056,Rockaway Ave,C,228
40.680266,-73.844235,Rockaway Blvd,A,237
40.580745,-73.835479,Rockaway Park-Beach 116th St,A S,253
40.646827,-73.902293,Rockaway Pkwy,L,460
40.759198,-73.953033,Roosevelt Island,F,465
40.661348,-73.916655,Saratoga Ave,1,85
40.702817,-73.907675,Seneca Ave,M,333
40.587130,-73.953779,Sheepshead Bay,Q,394
40.674037,-73.881158,Shepherd Ave,C,232
40.824157,-73.892888,Simpson St,2 5,50
40.674000,-73.997251,Smith-9th Sts,F G,339
40.701322,-74.013882,South Ferry,1 9,1
40.726820,-74.003563,Spring St-6th Ave,C E,179
40.722318,-73.997117,Spring St-Lafayette St,6,106
40.831373,-73.868101,St Lawrence Ave,6,148
40.756736,-73.920160,Steinway St,G R V,260
40.662713,-73.950677,Sterling St,2 5,92
40.576940,-73.980594,Stillwell Ave,F Q W,398
40.705321,-73.810955,Sutphin Blvd,F,274
40.700565,-73.808100,Sutphin Blvd-Archer Ave,E J Z,462
40.664696,-73.922528,Sutter Ave,1,84
40.669155,-73.902258,Sutter Ave,L,456
40.757191,-73.989801,Times Square-42nd St-8th Ave,1 2 3 7 A C E N Q R,184
40.850568,-73.905022,Tremont Ave,B D,210
40.735301,-73.989929,Union Square,4 5 6 L N Q R W,109
40.677406,-73.983042,Union St,M N R,400
40.714207,-73.830912,Union Turnpike,E F,272
40.668846,-73.932368,Utica Ave,1 4,83
40.679301,-73.930073,Utica Ave,A C,226
40.665326,-73.889659,Van Siclen Ave,1,89
40.672596,-73.890631,Van Siclen Ave,C,231
40.709329,-73.821015,Van Wyck Blvd,E F,273
40.742470,-73.952763,Vernon-Jackson Aves,7,159
40.732920,-74.000075,W 4th St,A C E F S V,180
40.575926,-73.975439,W 8th St,F Q,397
40.708307,-74.011243,Wall St-Broadway,4 5,102
40.707011,-74.008961,Wall St-William St,1 2,71
40.839805,-73.843058,Westchester Square,6,152
40.703153,-74.012999,Whitehall St,N R,376
40.826797,-73.886009,Whitlock Rd,6,145
40.754388,-73.845860,Willets Pt,7,175
40.689013,-73.904283,Wilson Ave,L,452
40.656712,-73.950210,Winthrop St,2 5,93
40.733127,-73.869568,Woodhaven Blvd,G R V,267
40.693641,-73.852072,Woodhaven Blvd,J Z,326
40.886345,-73.878444,Woodlawn,4,137
40.700059,-73.986667,York St,F,302
40.836381,-73.847072,Zerega Ave,6,151
